FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
trouvent,8,VER,14,0.69,58.27,57.65,30,0.89,77.23,58.88,87,0.86,54.20,57.34,131,0.87,59.74,57.76
trouver,7,VER,29,0.87,148.82,61.73,105,0.90,272.46,64.35,456,0.96,315.74,64.99,590,0.91,282.96,64.52
trouvera,8,VER,6,0.61,22.35,53.49,3,0.43,4.08,46.11,18,0.77,10.07,50.03,27,0.76,10.78,50.33
trouverai,9,VER,,,,,1,0.00,0.36,35.59,5,0.40,1.51,41.78,6,0.39,1.27,41.04
trouveraient,12,VER,,,,,1,0.00,0.25,33.94,4,0.42,1.29,41.10,5,0.40,1.11,40.45
trouverais,10,VER,1,0.00,0.61,37.82,1,0.00,0.21,33.29,1,0.00,0.02,23.60,3,0.28,0.45,36.53
trouverait,10,VER,1,0.00,0.52,37.18,1,0.00,0.22,33.41,7,0.52,2.73,44.36,9,0.51,2.46,43.91
trouveras,9,VER,13,0.45,37.74,55.77,14,0.47,20.54,53.13,29,0.82,17.22,52.36,56,0.75,22.25,53.47
trouvèrent,10,VER,3,0.00,1.51,41.80,9,0.56,15.28,51.84,21,0.71,10.91,50.38,33,0.69,12.05,50.81
trouverez,9,VER,,,,,3,0.25,2.71,44.33,13,0.67,6.43,48.08,16,0.61,5.18,47.14
trouverons,10,VER,2,0.00,0.84,39.26,1,0.00,0.09,29.77,5,0.40,1.52,41.82,8,0.43,1.87,42.71
trouveront,10,VER,,,,,1,0.00,0.17,32.34,3,0.33,0.77,38.87,4,0.35,0.76,38.82
trouves,7,VER,2,0.27,3.97,45.99,51,0.51,79.70,59.01,118,0.75,64.85,58.12,171,0.70,63.38,58.02
trouvés,7,VER,2,0.00,1.22,40.87,8,0.38,10.02,50.01,15,0.63,6.95,48.42,25,0.61,8.12,49.10
trouvés,7,ADJ,,,,,1,0.00,0.23,33.69,5,0.20,0.84,39.26,6,0.25,0.86,39.34
trouvez,7,VER,2,0.27,3.70,45.68,7,0.37,8.62,49.35,17,0.68,8.48,49.28,26,0.66,9.05,49.57
trouviez,8,VER,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
trouville,9,NP,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
trouvions,9,VER,,,,,,,,,6,0.47,2.11,43.25,6,0.39,1.28,41.08
trouvons,8,VER,,,,,4,0.41,5.23,47.19,4,0.42,1.26,41.02,8,0.48,2.05,43.12
troyens,7,ADJ,,,,,,,,,2,0.21,0.36,35.55,1,0.00,0.02,21.90
troyens,7,NP,,,,,,,,,1,0.00,0.03,24.69,2,0.17,0.21,33.31
troyes,6,NP,,,,,,,,,4,0.17,0.55,37.38,4,0.14,0.33,35.16
truand,6,NC,,,,,2,0.00,0.41,36.09,,,,,2,0.00,0.01,21.38
truc,4,NC,3,0.43,8.36,49.22,2,0.27,1.84,42.66,20,0.65,9.68,49.86,25,0.64,8.56,49.33
trucage,7,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
trucages,8,NC,,,,,1,0.00,0.20,33.08,4,0.17,0.64,38.04,5,0.24,0.70,38.46
trucs,5,NC,1,0.00,0.50,37.03,7,0.50,10.73,50.30,7,0.52,2.71,44.34,15,0.58,4.59,46.62
truelle,7,NC,,,,,,,,,6,0.54,2.40,43.80,6,0.45,1.46,41.64
truelles,8,NC,,,,,,,,,4,0.21,0.66,38.17,4,0.17,0.39,35.96
truffe,6,NC,,,,,1,0.00,0.29,34.61,11,0.42,3.56,45.52,12,0.40,2.61,44.16
truffé,6,VER,,,,,,,,,2,0.21,0.35,35.43,2,0.17,0.21,33.20
truffés,7,VER,,,,,,,,,1,0.00,0.02,22.49,1,0.00,0.01,19.71
trufficulture,13,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
truie,5,NC,1,0.00,0.50,37.03,11,0.12,6.98,48.44,8,0.57,3.39,45.30,20,0.45,4.79,46.81
truies,6,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
truite,6,NC,8,0.47,23.90,53.78,4,0.41,5.06,47.04,20,0.60,8.80,49.45,32,0.65,10.93,50.39
truites,7,NC,,,,,1,0.00,0.17,32.34,8,0.45,2.75,44.40,9,0.42,2.08,43.17
truquage,8,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
truquages,9,NC,,,,,1,0.00,0.20,33.08,,,,,1,0.00,0.01,18.37
truqué,6,ADJ,,,,,,,,,2,0.21,0.35,35.48,1,0.00,0.01,20.94
truqué,6,VER,,,,,,,,,1,0.00,0.02,23.72,2,0.17,0.21,33.25
truquée,7,ADJ,,,,,,,,,4,0.31,1.01,40.04,1,0.00,0.02,22.65
truquée,7,VER,,,,,,,,,1,0.00,0.03,25.43,4,0.26,0.61,37.84
truquer,7,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
truqués,7,VER,,,,,,,,,2,0.21,0.35,35.39,2,0.17,0.21,33.16
tsar,4,NC,,,,,,,,,19,0.29,4.47,46.50,19,0.24,2.69,44.29
tsarkolokol,11,NP,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
tsars,5,NC,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.25
tsavo,5,NP,,,,,,,,,2,0.00,0.09,29.60,2,0.00,0.05,26.82
tsé-tsé,7,NC,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
tsf,3,NP,,,,,,,,,3,0.33,0.78,38.94,3,0.28,0.47,36.75
t-shirts,8,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
tsigane,7,NC,,,,,,,,,7,0.00,0.35,35.49,7,0.00,0.19,32.71
tsiganes,8,NP,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
tu,2,PRO,1 020,0.92,5 467.58,77.38,2 639,0.93,7 018.77,78.46,6 700,0.97,4 677.24,76.70,10 359,0.95,5 145.05,77.11
tua,3,VER,,,,,2,0.27,1.95,42.91,6,0.47,2.11,43.24,8,0.48,2.05,43.12
tuaient,7,VER,1,0.00,0.62,37.95,,,,,,,,,1,0.00,0.01,17.05
tuait,5,VER,,,,,,,,,5,0.32,1.25,40.96,5,0.26,0.75,38.76
tuamotu,7,NP,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
tuant,5,VER,,,,,,,,,4,0.21,0.72,38.57,4,0.17,0.43,36.33
