FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
académiques,11,ADJ,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
acadie,6,NP,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
acajou,6,NC,,,,,,,,,2,0.21,0.37,35.70,2,0.17,0.22,33.45
acante,6,NP,,,,,,,,,4,0.00,0.10,29.97,4,0.00,0.05,27.19
acariens,8,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accabla,7,VER,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
accablait,9,VER,,,,,,,,,4,0.31,0.98,39.93,4,0.26,0.59,37.74
accablante,10,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
accable,7,VER,,,,,,,,,2,0.21,0.34,35.36,2,0.17,0.21,33.14
accablé,7,ADJ,,,,,,,,,2,0.00,0.05,26.96,2,0.00,0.03,24.18
accablé,7,VER,,,,,,,,,2,0.00,0.10,30.05,2,0.00,0.05,27.27
accablée,8,ADJ,,,,,,,,,1,0.00,0.02,22.39,1,0.00,0.01,19.61
accablée,8,VER,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
accablement,11,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
accalmie,8,NC,,,,,,,,,2,0.21,0.34,35.32,2,0.17,0.20,33.10
accalmies,9,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accaparé,8,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
accastillage,12,NC,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
accéder,7,VER,,,,,,,,,9,0.47,3.26,45.13,9,0.40,1.98,42.96
accéléra,8,VER,,,,,,,,,3,0.33,0.76,38.81,3,0.28,0.46,36.62
accélérait,10,VER,,,,,1,0.00,0.29,34.61,2,0.21,0.35,35.38,3,0.28,0.46,36.64
accélérant,10,VER,,,,,,,,,2,0.21,0.33,35.12,2,0.17,0.20,32.92
accélérateur,12,NC,,,,,,,,,2,0.21,0.35,35.48,2,0.17,0.21,33.24
accélération,12,NC,,,,,,,,,2,0.21,0.34,35.29,2,0.17,0.20,33.07
accélère,8,VER,2,0.00,1.25,40.96,3,0.43,4.12,46.15,6,0.40,1.83,42.63,11,0.51,2.98,44.74
accéléré,8,ADJ,,,,,,,,,4,0.42,1.26,41.01,4,0.35,0.76,38.83
accélérée,9,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
accélèrent,10,VER,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
accélérer,9,VER,1,0.00,0.35,35.42,,,,,13,0.55,5.24,47.19,14,0.49,3.65,45.62
accélérerait,12,VER,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
accélérèrent,12,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accélérons,10,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
accent,6,NC,,,,,21,0.33,23.67,53.74,89,0.71,46.40,56.67,110,0.64,37.62,55.75
accents,7,NC,,,,,14,0.43,19.11,52.81,40,0.62,18.51,52.67,54,0.60,17.31,52.38
accentuant,10,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
accentue,8,VER,,,,,,,,,5,0.40,1.53,41.86,5,0.33,0.93,39.68
accentuer,9,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
accentués,9,ADJ,,,,,,,,,2,0.21,0.37,35.67,1,0.00,0.02,23.81
accentués,9,VER,,,,,,,,,1,0.00,0.05,26.59,2,0.17,0.22,33.42
accepta,7,VER,2,0.00,1.01,40.04,2,0.27,1.88,42.73,28,0.79,16.14,52.08,32,0.70,11.95,50.77
acceptaient,11,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
acceptait,9,VER,,,,,,,,,4,0.42,1.28,41.08,4,0.35,0.78,38.90
acceptant,9,VER,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
acceptation,11,NC,,,,,,,,,1,0.00,0.02,22.39,1,0.00,0.01,19.61
accepte,7,VER,8,0.15,9.86,49.94,6,0.39,7.60,48.81,43,0.82,25.58,54.08,57,0.74,22.19,53.46
accepté,7,VER,,,,,2,0.00,0.58,37.62,11,0.59,4.85,46.86,13,0.53,3.68,45.66
acceptée,8,VER,,,,,,,,,2,0.21,0.34,35.27,2,0.17,0.20,33.06
acceptées,9,VER,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
acceptent,9,VER,2,0.27,4.04,46.06,1,0.00,0.22,33.41,6,0.37,1.69,42.27,9,0.46,2.21,43.44
accepter,8,VER,1,0.00,0.52,37.18,2,0.27,1.84,42.66,25,0.70,12.90,51.10,28,0.64,9.52,49.79
acceptera,9,VER,,,,,,,,,3,0.19,0.49,36.91,3,0.16,0.29,34.67
accepterai,10,VER,,,,,,,,,2,0.21,0.33,35.14,2,0.17,0.20,32.93
accepteraient,13,VER,,,,,,,,,2,0.21,0.33,35.20,2,0.17,0.20,32.99
accepterais,11,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
accepterait,11,VER,,,,,,,,,2,0.21,0.36,35.55,2,0.17,0.21,33.31
acceptèrent,11,VER,,,,,1,0.00,0.22,33.41,2,0.00,0.10,30.05,3,0.16,0.30,34.79
accepteriez,11,VER,,,,,1,0.00,0.34,35.35,1,0.00,0.03,24.41,2,0.17,0.20,33.09
accepteront,11,VER,1,0.00,0.53,37.27,,,,,,,,,1,0.00,0.00,16.38
acceptes,8,VER,,,,,1,0.00,0.17,32.34,2,0.21,0.35,35.45,3,0.28,0.46,36.64
acceptés,8,VER,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
acceptez,8,VER,1,0.00,0.50,37.03,,,,,1,0.00,0.03,24.41,2,0.17,0.20,32.95
acception,9,NC,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
accès,5,NC,1,0.00,0.42,36.25,2,0.27,1.82,42.61,23,0.66,11.15,50.47,26,0.61,8.42,49.25
accessible,10,ADJ,,,,,,,,,5,0.40,1.55,41.90,5,0.33,0.94,39.72
accessoire,10,ADJ,,,,,1,0.00,0.34,35.35,5,0.40,1.50,41.76,1,0.00,0.01,20.64
accessoire,10,NC,,,,,,,,,,,,,5,0.33,0.91,39.58
accessoires,11,NC,,,,,2,0.27,1.95,42.89,13,0.60,5.76,47.60,15,0.55,4.45,46.49
accessoires,11,ADJ,,,,,,,,,2,0.21,0.33,35.18,2,0.17,0.20,32.97
accident,8,NC,9,0.65,35.69,55.53,15,0.73,32.19,55.08,120,0.85,73.83,58.68,144,0.81,61.11,57.86
accidenté,9,ADJ,,,,,,,,,6,0.30,1.43,41.56,6,0.25,0.86,39.36
accidenté,9,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accidentée,10,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accidentée,10,VER,,,,,,,,,1,0.00,0.02,22.07,1,0.00,0.01,19.29
accidentées,11,ADJ,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
accidentés,10,ADJ,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
accidentés,10,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
accidents,9,NC,,,,,5,0.52,7.98,49.02,28,0.70,14.41,51.59,33,0.65,11.47,50.60
acclama,7,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
acclamation,11,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
acclamations,12,NC,,,,,,,,,5,0.32,1.30,41.14,5,0.26,0.78,38.93
acclame,7,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
acclamé,7,VER,1,0.00,0.37,35.74,,,,,,,,,1,0.00,0.00,14.84
acclament,9,VER,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
acclamer,8,VER,1,0.00,0.37,35.74,,,,,1,0.00,0.05,26.54,2,0.17,0.20,33.10
acclamèrent,11,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
acclimatait,11,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
acclimater,10,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
accolade,8,NC,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
accolées,8,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
accolés,7,ADJ,,,,,,,,,1,0.00,0.02,22.39,1,0.00,0.01,19.61
accommoder,10,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accommoderait,13,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
accommodés,10,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accommodez,10,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
accompagna,10,VER,,,,,1,0.00,0.20,33.08,6,0.47,2.14,43.31,7,0.44,1.67,42.24
accompagnai,11,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
accompagnaient,14,VER,,,,,1,0.00,0.34,35.35,4,0.42,1.28,41.08,5,0.40,1.11,40.44
accompagnais,12,VER,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
accompagnait,12,VER,,,,,1,0.00,0.23,33.69,4,0.42,1.27,41.04,5,0.40,1.10,40.41
accompagnant,12,VER,2,0.00,1.22,40.87,2,0.27,1.85,42.68,5,0.40,1.50,41.77,9,0.47,2.27,43.57
accompagnateur,14,NC,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
accompagne,10,VER,8,0.38,19.40,52.88,13,0.31,14.18,51.52,53,0.82,31.75,55.02,74,0.75,29.33,54.67
accompagné,10,VER,1,0.00,0.43,36.31,11,0.72,23.43,53.70,38,0.91,25.07,53.99,50,0.84,21.99,53.42
accompagné,10,ADJ,,,,,3,0.43,4.11,46.14,2,0.21,0.34,35.34,5,0.40,1.09,40.37
accompagnée,11,VER,,,,,2,0.00,0.49,36.95,12,0.71,6.25,47.96,14,0.61,4.56,46.59
accompagnées,12,VER,,,,,,,,,6,0.47,2.10,43.23,6,0.39,1.28,41.06
accompagnement,14,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
accompagnent,12,VER,,,,,12,0.48,18.20,52.60,19,0.64,8.97,49.53,31,0.61,10.14,50.06
accompagner,11,VER,3,0.43,8.40,49.24,7,0.68,14.12,51.50,35,0.74,19.02,52.79,45,0.74,17.50,52.43
accompagnera,12,VER,,,,,1,0.00,0.22,33.41,2,0.21,0.36,35.52,3,0.28,0.47,36.68
accompagnerait,14,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
accompagnèrent,14,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
accompagnerez,13,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
accompagnerons,14,VER,,,,,1,0.00,0.25,33.94,1,0.00,0.04,25.56,2,0.17,0.20,33.11
accompagneront,14,VER,1,0.00,0.61,37.82,,,,,1,0.00,0.03,24.41,2,0.17,0.20,32.97
accompagnes,11,VER,1,0.00,0.61,37.82,,,,,3,0.33,0.76,38.80,4,0.35,0.75,38.78
accompagnés,11,VER,4,0.41,10.71,50.30,7,0.16,5.09,47.06,9,0.47,3.23,45.10,20,0.53,5.66,47.53
accompagnés,11,ADJ,,,,,1,0.00,0.23,33.69,2,0.21,0.34,35.31,3,0.28,0.46,36.60
accompagnez,11,VER,,,,,,,,,3,0.33,0.79,39.00,3,0.28,0.48,36.80
accompagnons,12,VER,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
accompli,8,ADJ,,,,,,,,,14,0.66,6.84,48.35,3,0.28,0.48,36.80
accompli,8,VER,,,,,,,,,3,0.33,0.79,39.00,14,0.55,4.16,46.19
accomplie,9,ADJ,1,0.00,0.61,37.82,4,0.00,0.82,39.11,3,0.33,0.80,39.04,5,0.13,0.36,35.52
accomplie,9,VER,,,,,,,,,,,,,3,0.28,0.48,36.84
accomplies,10,VER,,,,,,,,,6,0.37,1.75,42.44,6,0.31,1.06,40.25
accomplir,9,VER,,,,,1,0.00,0.23,33.69,24,0.83,14.54,51.63,25,0.71,9.41,49.74
accomplira,10,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
accomplis,9,ADJ,,,,,,,,,3,0.33,0.78,38.92,2,0.17,0.20,32.95
accomplis,9,VER,,,,,,,,,2,0.21,0.33,35.16,3,0.28,0.47,36.72
accomplissait,13,VER,,,,,,,,,3,0.33,0.80,39.01,3,0.28,0.48,36.81
accomplissant,13,VER,,,,,,,,,2,0.21,0.36,35.55,2,0.17,0.21,33.31
accomplissement,15,NC,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
accomplissent,13,VER,,,,,,,,,4,0.42,1.27,41.03,4,0.35,0.77,38.85
accomplit,9,VER,1,0.00,0.52,37.18,1,0.00,0.25,33.94,11,0.45,3.81,45.81,13,0.46,3.21,45.07
accord,6,NC,30,0.79,140.18,61.47,51,0.85,125.88,61.00,228,0.91,149.71,61.75,309,0.89,143.82,61.58
accorda,7,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
accordait,9,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
accordant,9,VER,,,,,1,0.00,0.36,35.59,10,0.43,3.27,45.15,11,0.40,2.42,43.84
accorde,7,VER,,,,,22,0.48,33.45,55.24,175,0.57,74.50,58.72,197,0.54,57.73,57.61
accordé,7,VER,,,,,,,,,7,0.47,2.48,43.95,7,0.39,1.50,41.77
accordées,9,VER,,,,,,,,,2,0.00,0.04,25.73,2,0.00,0.02,22.95
accordent,9,VER,,,,,4,0.22,3.33,45.22,18,0.55,7.42,48.70,22,0.52,6.17,47.90
accordéon,9,NC,18,0.41,47.62,56.78,5,0.52,7.77,48.91,17,0.65,8.17,49.12,40,0.64,13.50,51.30
accordéoniste,13,NC,,,,,,,,,2,0.00,0.06,27.70,2,0.00,0.03,24.91
accorder,8,VER,,,,,4,0.22,3.21,45.06,20,0.47,7.21,48.58,24,0.46,6.07,47.83
accordera,9,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
accorderai,10,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
accorderas,10,VER,,,,,,,,,6,0.26,1.32,41.19,6,0.22,0.79,38.97
accordèrent,11,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
accordes,8,VER,,,,,1,0.00,0.23,33.69,1,0.00,0.02,23.72,2,0.17,0.20,32.98
accordeur,9,NC,,,,,,,,,2,0.00,0.09,29.55,2,0.00,0.05,26.77
accordez,8,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
accordons,9,VER,,,,,,,,,4,0.42,1.26,41.02,4,0.35,0.77,38.84
accords,7,NC,,,,,15,0.34,17.66,52.47,54,0.57,22.94,53.61,69,0.55,20.41,53.10
accosta,7,VER,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
accostaient,11,VER,,,,,,,,,2,0.21,0.35,35.40,2,0.17,0.21,33.17
accostant,9,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
accosté,7,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
accostent,9,VER,,,,,,,,,2,0.21,0.35,35.40,2,0.17,0.21,33.17
accoster,8,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
accota,6,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
accotement,10,NC,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
accotèrent,10,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accoucha,8,VER,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
accouchement,12,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
accouda,7,VER,,,,,,,,,2,0.21,0.34,35.33,2,0.17,0.20,33.11
accoudé,7,VER,,,,,1,0.00,0.29,34.61,,,,,1,0.00,0.01,19.90
accoudoir,9,NC,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
accoudoirs,10,NC,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
accouple,8,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
accoupler,9,VER,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
accouraient,11,VER,,,,,,,,,3,0.33,0.77,38.85,3,0.28,0.46,36.66
accourait,9,VER,,,,,,,,,7,0.38,2.12,43.25,7,0.32,1.28,41.07
accourent,9,VER,,,,,1,0.00,0.17,32.34,,,,,1,0.00,0.01,17.62
accourez,8,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
accourions,10,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
accourir,8,VER,,,,,4,0.00,0.81,39.10,9,0.61,4.07,46.09,13,0.51,3.54,45.49
accourraient,12,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
accours,7,VER,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
accourt,7,VER,2,0.27,3.89,45.90,4,0.54,6.64,48.22,4,0.42,1.27,41.04,10,0.58,3.07,44.87
accourue,8,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
accourûmes,10,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
accoururent,11,VER,,,,,3,0.43,4.03,46.05,12,0.64,5.67,47.54,15,0.61,4.86,46.87
accourus,8,VER,,,,,1,0.00,0.20,33.08,1,0.00,0.02,23.95,2,0.17,0.20,32.98
accourut,8,VER,2,0.00,1.05,40.19,,,,,14,0.69,7.11,48.52,16,0.60,5.12,47.09
accoutré,8,ADJ,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
accoutrer,9,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
accoutumé,9,ADJ,,,,,,,,,2,0.00,0.03,25.40,2,0.00,0.02,22.62
accoutumée,10,ADJ,,,,,1,0.00,0.09,29.77,5,0.40,1.54,41.88,6,0.39,1.28,41.09
accoutumée,10,VER,,,,,,,,,3,0.19,0.48,36.84,3,0.16,0.29,34.61
accroc,6,NC,,,,,,,,,3,0.19,0.48,36.83,3,0.16,0.29,34.60
accrocha,8,VER,1,0.00,0.62,37.95,,,,,4,0.42,1.28,41.08,5,0.40,1.10,40.43
accrochage,10,NC,,,,,,,,,4,0.31,0.99,39.98,4,0.26,0.60,37.78
accrochai,9,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
accrochaient,12,VER,,,,,,,,,2,0.21,0.36,35.58,2,0.17,0.22,33.34
accrochait,10,VER,,,,,1,0.00,0.23,33.69,10,0.61,4.49,46.52,11,0.54,3.17,45.01
accrochant,10,VER,1,0.00,0.52,37.18,1,0.00,0.09,29.77,9,0.57,3.80,45.80,11,0.54,3.17,45.01
accroche,8,VER,19,0.61,71.53,58.54,12,0.70,24.54,53.90,14,0.63,6.52,48.14,45,0.72,17.10,52.33
accroche,8,NC,1,0.00,0.15,31.86,,,,,1,0.00,0.03,24.41,2,0.17,0.20,32.90
accroché,8,VER,3,0.43,8.36,49.22,12,0.77,27.05,54.32,33,0.83,19.83,52.97,48,0.81,20.49,53.12
accroché,8,ADJ,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
accrochée,9,VER,5,0.00,1.89,42.76,5,0.52,7.96,49.01,7,0.47,2.46,43.90,17,0.53,4.80,46.81
accrochées,10,ADJ,,,,,1,0.00,0.20,33.08,4,0.31,0.99,39.98,1,0.00,0.01,18.37
accrochées,10,VER,,,,,1,0.00,0.22,33.41,,,,,5,0.33,0.93,39.67
accrochent,10,VER,,,,,1,0.00,0.25,33.94,5,0.48,1.80,42.56,6,0.45,1.45,41.62
accrocher,9,VER,4,0.27,8.07,49.07,2,0.00,0.69,38.36,30,0.75,16.51,52.18,36,0.68,13.03,51.15
accrochera,10,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
accrocherai,11,VER,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
accrocherais,12,VER,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
accrocherait,12,VER,,,,,1,0.00,0.20,33.09,,,,,1,0.00,0.01,18.38
accrochèrent,12,VER,1,0.00,0.50,37.03,,,,,1,0.00,0.03,25.43,2,0.17,0.20,33.02
accrocherez,11,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
accroches,9,VER,,,,,,,,,2,0.21,0.38,35.75,2,0.17,0.22,33.50
accrochés,9,VER,1,0.00,0.42,36.25,2,0.27,1.77,42.49,6,0.47,2.13,43.28,9,0.51,2.47,43.93
accrochés,9,ADJ,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
accrochez,9,VER,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
accroît,7,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
accroître,9,VER,,,,,,,,,4,0.42,1.26,41.00,4,0.35,0.76,38.82
accroupi,8,VER,,,,,2,0.27,1.84,42.64,11,0.55,4.58,46.61,13,0.53,3.69,45.67
accroupi,8,ADJ,1,0.00,0.62,37.95,,,,,3,0.33,0.78,38.91,4,0.35,0.76,38.84
accroupie,9,VER,,,,,,,,,6,0.47,2.13,43.27,6,0.39,1.29,41.10
accroupir,9,VER,,,,,,,,,5,0.20,0.81,39.11,5,0.17,0.49,36.90
accroupis,9,ADJ,,,,,2,0.00,0.49,36.95,6,0.47,2.13,43.28,4,0.26,0.59,37.69
accroupis,9,VER,,,,,1,0.00,0.25,33.94,2,0.21,0.36,35.56,7,0.44,1.67,42.22
accroupit,9,VER,3,0.25,5.51,47.41,,,,,11,0.61,4.93,46.93,14,0.56,4.20,46.23
accrut,6,VER,,,,,,,,,2,0.21,0.38,35.75,2,0.17,0.22,33.50
accueil,7,NC,1,0.00,0.62,37.95,1,0.00,0.19,32.89,53,0.70,27.14,54.34,55,0.61,17.81,52.51
accueillait,11,VER,,,,,,,,,2,0.21,0.34,35.36,2,0.17,0.21,33.13
accueillant,11,ADJ,,,,,2,0.27,1.96,42.92,2,0.00,0.08,29.12,4,0.26,0.59,37.72
accueillant,11,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
accueillante,12,ADJ,,,,,3,0.25,2.83,44.52,3,0.33,0.77,38.87,6,0.39,1.28,41.06
accueillantes,13,ADJ,,,,,1,0.00,0.36,35.59,1,0.00,0.01,21.66,2,0.17,0.20,32.98
accueille,9,VER,1,0.00,0.38,35.77,4,0.41,5.08,47.06,14,0.66,6.83,48.34,19,0.64,6.46,48.10
accueillent,11,VER,1,0.00,0.37,35.74,1,0.00,0.17,32.34,6,0.54,2.42,43.85,8,0.52,2.24,43.50
accueillera,11,VER,1,0.00,0.42,36.25,,,,,2,0.21,0.35,35.45,3,0.28,0.46,36.62
accueillerai,12,VER,,,,,,,,,1,0.00,0.02,22.49,1,0.00,0.01,19.71
accueillerait,13,VER,,,,,,,,,2,0.00,0.06,27.70,2,0.00,0.03,24.92
accueilleront,13,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
accueilles,10,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
accueilli,9,VER,3,0.25,5.57,47.46,2,0.27,1.76,42.45,13,0.63,6.05,47.82,18,0.62,5.94,47.74
accueillie,10,VER,1,0.00,0.50,37.03,,,,,4,0.42,1.29,41.09,5,0.40,1.11,40.43
accueillir,10,VER,,,,,3,0.43,4.04,46.06,29,0.82,17.34,52.39,32,0.73,12.29,50.90
accueillirent,13,VER,1,0.00,0.61,37.86,,,,,4,0.21,0.72,38.58,5,0.26,0.76,38.78
accueillis,10,VER,,,,,,,,,6,0.40,1.84,42.64,6,0.33,1.11,40.46
accueillit,10,VER,,,,,,,,,9,0.57,3.82,45.82,9,0.47,2.32,43.66
accueillons,11,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
acculé,6,ADJ,,,,,,,,,1,0.00,0.02,22.49,1,0.00,0.01,19.71
acculer,7,VER,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
accumula,8,VER,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
accumulaient,12,VER,,,,,1,0.00,0.09,29.77,1,0.00,0.03,24.43,2,0.17,0.20,32.94
accumulait,10,VER,,,,,,,,,2,0.21,0.35,35.38,2,0.17,0.21,33.16
accumulateur,12,NC,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
accumulation,12,NC,,,,,,,,,4,0.31,0.99,39.96,4,0.26,0.60,37.76
accumule,8,VER,2,0.00,0.84,39.26,1,0.00,0.22,33.41,1,0.00,0.02,22.07,4,0.26,0.56,37.50
accumulé,8,VER,,,,,,,,,3,0.33,0.77,38.89,3,0.28,0.47,36.69
accumulent,10,VER,,,,,,,,,3,0.33,0.77,38.84,3,0.28,0.46,36.65
accumulés,9,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
accus,5,NC,,,,,,,,,9,0.00,0.21,33.26,9,0.00,0.11,30.48
accusa,6,VER,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
accusait,8,VER,,,,,,,,,2,0.00,0.06,27.42,2,0.00,0.03,24.64
accusation,10,NC,,,,,,,,,11,0.31,2.66,44.25,11,0.26,1.61,42.06
accusations,11,NC,,,,,,,,,1,0.00,0.02,22.39,1,0.00,0.01,19.61
accuse,6,VER,,,,,,,,,10,0.55,4.12,46.15,10,0.46,2.50,43.98
accusé,6,NC,,,,,1,0.00,0.23,33.69,14,0.56,5.84,47.66,15,0.50,4.03,46.05
accusé,6,ADJ,,,,,,,,,11,0.50,4.16,46.20,3,0.16,0.28,34.51
accusé,6,VER,,,,,,,,,3,0.19,0.47,36.74,11,0.42,2.53,44.03
accusent,8,VER,,,,,,,,,2,0.21,0.34,35.26,2,0.17,0.20,33.04
accuser,7,VER,,,,,,,,,3,0.33,0.76,38.79,3,0.28,0.46,36.60
accuses,7,VER,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
accusés,7,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
acerbe,6,ADJ,,,,,,,,,2,0.00,0.02,23.72,2,0.00,0.01,20.93
acéré,5,ADJ,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
acéré,5,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
acérée,6,ADJ,,,,,1,0.00,0.36,35.59,,,,,1,0.00,0.01,20.87
acérées,7,ADJ,,,,,,,,,6,0.47,2.10,43.23,6,0.39,1.27,41.05
acérés,6,ADJ,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
